Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1	Transcription Units	Regulated-By	GO terms (biological process)
EQU24_RS20475	EQU24_RS20475	4617455	4619035	methyl-accepting chemotaxis protein	EQU24_RS20475	EQU24_RS20475	EQU24_RS20475		
EQU24_RS20470	EQU24_RS20470	4615720	4616814	alkene reductase	EQU24_RS20470	EQU24_RS20470	EQU24_RS20470		
mpl	EQU24_RS20465	4614219	4615571	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase	mpl	EQU24_RS20465	mpl		
EQU24_RS20460	EQU24_RS20460	4610046	4614134	hypothetical protein	EQU24_RS20460	EQU24_RS20460	EQU24_RS20460		
EQU24_RS20455	EQU24_RS20455	4609544	4609957	Dabb family protein	EQU24_RS20455	EQU24_RS20455	EQU24_RS20455		
EQU24_RS20450	EQU24_RS20450	4609261	4609455	hypothetical protein	EQU24_RS20450	EQU24_RS20450	EQU24_RS20450		
EQU24_RS20445	EQU24_RS20445	4608160	4609065	hypothetical protein	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430	EQU24_RS20445	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430		
EQU24_RS20440	EQU24_RS20440	4606634	4608163	alternate F1F0 ATPase, F1 subunit alpha	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430	EQU24_RS20440	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430		
EQU24_RS20435	EQU24_RS20435	4605850	4606650	hypothetical protein	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430	EQU24_RS20435	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430		
EQU24_RS20430	EQU24_RS20430	4605564	4605845	F0F1 ATP synthase subunit C	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430	EQU24_RS20430	EQU24_RS20445 // EQU24_RS20440 // EQU24_RS20435 // EQU24_RS20430		
EQU24_RS20425	EQU24_RS20425	4605333	4605525	hypothetical protein	EQU24_RS20425	EQU24_RS20425	EQU24_RS20425		
EQU24_RS20420	EQU24_RS20420	4604617	4605285	F0F1 ATP synthase subunit A	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400	EQU24_RS20420	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400		
EQU24_RS20415	EQU24_RS20415	4604313	4604612	ATP synthase subunit I	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400	EQU24_RS20415	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400		
EQU24_RS20410	EQU24_RS20410	4603982	4604320	hypothetical protein	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400	EQU24_RS20410	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400		
EQU24_RS20405	EQU24_RS20405	4603585	4603989	F0F1 ATP synthase subunit epsilon	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400	EQU24_RS20405	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400		
EQU24_RS20400	EQU24_RS20400	4602192	4603577	F0F1 ATP synthase subunit beta	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400	EQU24_RS20400	EQU24_RS20420 // EQU24_RS20415 // EQU24_RS20410 // EQU24_RS20405 // EQU24_RS20400		
EQU24_RS20395	EQU24_RS20395	4600429	4601907	chemotaxis protein	EQU24_RS20395 // EQU24_RS20390	EQU24_RS20395	EQU24_RS20395 // EQU24_RS20390		
EQU24_RS20390	EQU24_RS20390	4599887	4600426	PAS domain-containing protein	EQU24_RS20395 // EQU24_RS20390	EQU24_RS20390	EQU24_RS20395 // EQU24_RS20390		
EQU24_RS20385	EQU24_RS20385	4598608	4599003	hypothetical protein	EQU24_RS20385	EQU24_RS20385	EQU24_RS20385		
EQU24_RS20380	EQU24_RS20380	4596047	4598530	FtsX-like permease family protein	EQU24_RS20380 // EQU24_RS20375	EQU24_RS20380	EQU24_RS20380 // EQU24_RS20375		
EQU24_RS20375	EQU24_RS20375	4595358	4596050	ABC transporter ATP-binding protein	EQU24_RS20380 // EQU24_RS20375	EQU24_RS20375	EQU24_RS20380 // EQU24_RS20375		
EQU24_RS20370	EQU24_RS20370	4594757	4595359	arylesterase	EQU24_RS20370	EQU24_RS20370	EQU24_RS20370		
EQU24_RS20365	EQU24_RS20365	4594270	4594692	heme-binding protein	EQU24_RS20365	EQU24_RS20365	EQU24_RS20365		
EQU24_RS20360	EQU24_RS20360	4593705	4594040	hypothetical protein	EQU24_RS20360	EQU24_RS20360	EQU24_RS20360		
EQU24_RS20355	EQU24_RS20355	4592489	4593430	NADH ubiquinone oxidoreductase	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345	EQU24_RS20355	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345		
EQU24_RS20350	EQU24_RS20350	4590958	4592487	hydrogenase	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345	EQU24_RS20350	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345		
EQU24_RS20345	EQU24_RS20345	4590494	4590961	hydrogenase maturation protease	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345	EQU24_RS20345	EQU24_RS20355 // EQU24_RS20350 // EQU24_RS20345		
EQU24_RS20340	EQU24_RS20340	4587850	4590519	EAL domain-containing protein	EQU24_RS20340	EQU24_RS20340	EQU24_RS20340		
EQU24_RS20335	EQU24_RS20335	4587227	4587418	hypothetical protein	EQU24_RS20335	EQU24_RS20335	EQU24_RS20335		
EQU24_RS20330	EQU24_RS20330	4586058	4587038	WYL domain-containing protein	EQU24_RS20330	EQU24_RS20330	EQU24_RS20330		
EQU24_RS20325	EQU24_RS20325	4585692	4585955	hypothetical protein	EQU24_RS20325	EQU24_RS20325	EQU24_RS20325		
EQU24_RS20320	EQU24_RS20320	4585275	4585535	DUF2442 domain-containing protein	EQU24_RS20320	EQU24_RS20320	EQU24_RS20320		
EQU24_RS20315	EQU24_RS20315	4582578	4585157	CRISPR-associated helicase/endonuclease Cas3	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20315	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
casA	EQU24_RS20310	4581032	4582594	type I-E CRISPR-associated protein Cse1/CasA	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20310	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
EQU24_RS20305	EQU24_RS20305	4580484	4581035	hypothetical protein	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20305	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
cas6e	EQU24_RS20300	4579826	4580515	type I-E CRISPR-associated protein Cas6/Cse3/CasE	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20300	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
cas7e	EQU24_RS20295	4578728	4579801	type I-E CRISPR-associated protein Cas7/Cse4/CasC	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20295	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
cas5e	EQU24_RS20290	4578052	4578765	type I-E CRISPR-associated protein Cas5/CasD	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e	EQU24_RS20290	EQU24_RS20315 // casA // EQU24_RS20305 // cas6e // cas7e // cas5e		
EQU24_RS20285	EQU24_RS20285	4577695	4577961	hypothetical protein	EQU24_RS20285	EQU24_RS20285	EQU24_RS20285		
EQU24_RS20280	EQU24_RS20280	4577272	4577529	ribbon-helix-helix protein, CopG family	EQU24_RS20280	EQU24_RS20280	EQU24_RS20280		
EQU24_RS20275	EQU24_RS20275	4576863	4577294	PIN domain-containing protein	EQU24_RS20275	EQU24_RS20275	EQU24_RS20275		
EQU24_RS20270	EQU24_RS20270	4576296	4576565	type II toxin-antitoxin system Phd/YefM family antitoxin	EQU24_RS20270 // EQU24_RS20265 // cas1e	EQU24_RS20270	EQU24_RS20270 // EQU24_RS20265 // cas1e		
EQU24_RS20265	EQU24_RS20265	4575993	4576295	type II toxin-antitoxin system RelE/ParE family toxin	EQU24_RS20270 // EQU24_RS20265 // cas1e	EQU24_RS20265	EQU24_RS20270 // EQU24_RS20265 // cas1e		
cas1e	EQU24_RS20260	4575078	4575989	type I-E CRISPR-associated endonuclease Cas1	EQU24_RS20270 // EQU24_RS20265 // cas1e	EQU24_RS20260	EQU24_RS20270 // EQU24_RS20265 // cas1e		
EQU24_RS20255	EQU24_RS20255	4574644	4574946	type I-E CRISPR-associated endoribonuclease Cas2	EQU24_RS20255	EQU24_RS20255	EQU24_RS20255		
EQU24_RS20250	EQU24_RS20250	4570955	4571701	AAA family ATPase	EQU24_RS20250 // EQU24_RS20245	EQU24_RS20250	EQU24_RS20250 // EQU24_RS20245		
EQU24_RS20245	EQU24_RS20245	4569373	4570968	IS21 family transposase	EQU24_RS20250 // EQU24_RS20245	EQU24_RS20245	EQU24_RS20250 // EQU24_RS20245		
EQU24_RS20240	EQU24_RS20240	4567373	4568944	IS66 family transposase	EQU24_RS20240	EQU24_RS20240	EQU24_RS20240		
EQU24_RS20235	EQU24_RS20235	4566876	4567184	hypothetical protein	EQU24_RS20235	EQU24_RS20235	EQU24_RS20235		
EQU24_RS20230	EQU24_RS20230	4565618	4566796	ISAzo13 family transposase	EQU24_RS20230	EQU24_RS20230	EQU24_RS20230		
EQU24_RS20225	EQU24_RS20225	4564793	4565485	glycosyltransferase	EQU24_RS20225	EQU24_RS20225	EQU24_RS20225		
EQU24_RS20220	EQU24_RS20220	4563174	4564403	glycosyltransferase	EQU24_RS20220	EQU24_RS20220	EQU24_RS20220		
EQU24_RS20215	EQU24_RS20215	4562360	4563091	hypothetical protein	EQU24_RS20215	EQU24_RS20215	EQU24_RS20215		
EQU24_RS20210	EQU24_RS20210	4543888	4562202	DUF4347 domain-containing protein	EQU24_RS20210	EQU24_RS20210	EQU24_RS20210		
EQU24_RS20205	EQU24_RS20205	4543212	4543409	hypothetical protein	EQU24_RS20205	EQU24_RS20205	EQU24_RS20205		
EQU24_RS20200	EQU24_RS20200	4542217	4543170	IS1595 family transposase	EQU24_RS20200	EQU24_RS20200	EQU24_RS20200		
EQU24_RS20195	EQU24_RS20195	4541157	4541939	Bax inhibitor-1/YccA family protein	EQU24_RS20195	EQU24_RS20195	EQU24_RS20195		
EQU24_RS20190	EQU24_RS20190	4539597	4541063	tetratricopeptide repeat protein	EQU24_RS20190	EQU24_RS20190	EQU24_RS20190		
EQU24_RS20185	EQU24_RS20185	4538635	4539153	methyltransferase domain-containing protein	EQU24_RS20185	EQU24_RS20185	EQU24_RS20185		
EQU24_RS20180	EQU24_RS20180	4536629	4538470	protein containing Six-hairpin glycosidase-like domain	EQU24_RS20180	EQU24_RS20180	EQU24_RS20180		
EQU24_RS20175	EQU24_RS20175	4535853	4536443	hypothetical protein	EQU24_RS20175	EQU24_RS20175	EQU24_RS20175		
EQU24_RS20170	EQU24_RS20170	4528605	4531310	retention module-containing protein	EQU24_RS20170	EQU24_RS20170	EQU24_RS20170		
EQU24_RS20165	EQU24_RS20165	4527522	4528157	response regulator transcription factor	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155	EQU24_RS20165	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155		
EQU24_RS20160	EQU24_RS20160	4526171	4527511	HlyD family type I secretion periplasmic adaptor subunit	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155	EQU24_RS20160	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155		
EQU24_RS20155	EQU24_RS20155	4523973	4526153	type I secretion system permease/ATPase	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155	EQU24_RS20155	EQU24_RS20165 // EQU24_RS20160 // EQU24_RS20155		
EQU24_RS20150	EQU24_RS20150	4523547	4523885	hypothetical protein	EQU24_RS20150	EQU24_RS20150	EQU24_RS20150		
EQU24_RS20145	EQU24_RS20145	4522433	4523221	VWA domain-containing protein	EQU24_RS20145	EQU24_RS20145	EQU24_RS20145		
EQU24_RS20140	EQU24_RS20140	4520923	4522293	TolC family outer membrane protein	EQU24_RS20140	EQU24_RS20140	EQU24_RS20140		
EQU24_RS20135	EQU24_RS20135	4520222	4520899	hypothetical protein	EQU24_RS20135 // EQU24_RS20130	EQU24_RS20135	EQU24_RS20135 // EQU24_RS20130		
EQU24_RS20130	EQU24_RS20130	4518315	4520216	EAL domain-containing protein	EQU24_RS20135 // EQU24_RS20130	EQU24_RS20130	EQU24_RS20135 // EQU24_RS20130		
EQU24_RS20125	EQU24_RS20125	4517343	4518251	hypothetical protein	EQU24_RS20125 // EQU24_RS20120	EQU24_RS20125	EQU24_RS20125 // EQU24_RS20120		
EQU24_RS20120	EQU24_RS20120	4516905	4517306	exosortase system-associated protein, TIGR04073 family	EQU24_RS20125 // EQU24_RS20120	EQU24_RS20120	EQU24_RS20125 // EQU24_RS20120		
EQU24_RS20115	EQU24_RS20115	4513941	4516223	EAL domain-containing protein	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100	EQU24_RS20115	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100		
EQU24_RS20110	EQU24_RS20110	4513565	4513954	response regulator	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100	EQU24_RS20110	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100		
EQU24_RS20105	EQU24_RS20105	4513177	4513578	response regulator	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100	EQU24_RS20105	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100		
EQU24_RS20100	EQU24_RS20100	4509536	4513180	response regulator	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100	EQU24_RS20100	EQU24_RS20115 // EQU24_RS20110 // EQU24_RS20105 // EQU24_RS20100		
EQU24_RS20095	EQU24_RS20095	4507688	4509010	NAD(P)/FAD-dependent oxidoreductase	EQU24_RS20095 // EQU24_RS20090	EQU24_RS20095	EQU24_RS20095 // EQU24_RS20090		
EQU24_RS20090	EQU24_RS20090	4507136	4507678	hypothetical protein	EQU24_RS20095 // EQU24_RS20090	EQU24_RS20090	EQU24_RS20095 // EQU24_RS20090		
EQU24_RS20085	EQU24_RS20085	4504245	4506545	hypothetical protein	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075	EQU24_RS20085	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075		
EQU24_RS20080	EQU24_RS20080	4503599	4504243	outer membrane lipoprotein carrier protein LolA	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075	EQU24_RS20080	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075		
EQU24_RS20075	EQU24_RS20075	4502970	4503599	hypothetical protein	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075	EQU24_RS20075	EQU24_RS20085 // EQU24_RS20080 // EQU24_RS20075		
EQU24_RS20070	EQU24_RS20070	4502728	4502913	methylated-DNA--protein-cysteine methyltransferase	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055	EQU24_RS20070	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055		
EQU24_RS20065	EQU24_RS20065	4502165	4502725	hypothetical protein	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055	EQU24_RS20065	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055		
EQU24_RS20060	EQU24_RS20060	4501116	4502162	sulfite exporter TauE/SafE family protein	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055	EQU24_RS20060	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055		
EQU24_RS20055	EQU24_RS20055	4500569	4501132	Uma2 family endonuclease	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055	EQU24_RS20055	EQU24_RS20070 // EQU24_RS20065 // EQU24_RS20060 // EQU24_RS20055		
EQU24_RS20050	EQU24_RS20050	4500233	4500415	hypothetical protein	EQU24_RS20050	EQU24_RS20050	EQU24_RS20050		
EQU24_RS20045	EQU24_RS20045	4499532	4500290	rhomboid family intramembrane serine protease	EQU24_RS20045	EQU24_RS20045	EQU24_RS20045		
EQU24_RS20040	EQU24_RS20040	4499079	4499480	TIGR03790 family protein	EQU24_RS20040	EQU24_RS20040	EQU24_RS20040		
EQU24_RS20035	EQU24_RS20035	4497980	4498567	hypothetical protein	EQU24_RS20035	EQU24_RS20035	EQU24_RS20035		
EQU24_RS20030	EQU24_RS20030	4497827	4498045	hypothetical protein	EQU24_RS20030	EQU24_RS20030	EQU24_RS20030		
EQU24_RS20025	EQU24_RS20025	4497148	4497828	SDR family oxidoreductase	EQU24_RS20025	EQU24_RS20025	EQU24_RS20025		
EQU24_RS20020	EQU24_RS20020	4495813	4497075	FAD-binding oxidoreductase	EQU24_RS20020	EQU24_RS20020	EQU24_RS20020		
EQU24_RS20015	EQU24_RS20015	4495333	4495533	hypothetical protein	EQU24_RS20015 // EQU24_RS20010	EQU24_RS20015	EQU24_RS20015 // EQU24_RS20010		
EQU24_RS20010	EQU24_RS20010	4495074	4495343	BrnT family toxin	EQU24_RS20015 // EQU24_RS20010	EQU24_RS20010	EQU24_RS20015 // EQU24_RS20010		
EQU24_RS20005	EQU24_RS20005	4494392	4494682	HigA family addiction module antidote protein	EQU24_RS20005 // EQU24_RS20000	EQU24_RS20005	EQU24_RS20005 // EQU24_RS20000		
EQU24_RS20000	EQU24_RS20000	4494087	4494377	plasmid maintenance system killer protein	EQU24_RS20005 // EQU24_RS20000	EQU24_RS20000	EQU24_RS20005 // EQU24_RS20000		
EQU24_RS19995	EQU24_RS19995	4493624	4493854	addiction module component CHP02574 family protein	EQU24_RS19995	EQU24_RS19995	EQU24_RS19995		
EQU24_RS19990	EQU24_RS19990	4493153	4493230	BrnT family toxin	EQU24_RS19990 // EQU24_RS19985	EQU24_RS19990	EQU24_RS19990 // EQU24_RS19985		
EQU24_RS19985	EQU24_RS19985	4492435	4493160	DUF429 domain-containing protein	EQU24_RS19990 // EQU24_RS19985	EQU24_RS19985	EQU24_RS19990 // EQU24_RS19985		
EQU24_RS19980	EQU24_RS19980	4491883	4492332	hypothetical protein	EQU24_RS19980	EQU24_RS19980	EQU24_RS19980		
EQU24_RS19975	EQU24_RS19975	4490396	4490947	hypothetical protein	EQU24_RS19975	EQU24_RS19975	EQU24_RS19975		
EQU24_RS19970	EQU24_RS19970	4489397	4490098	transcription antitermination protein NusG	EQU24_RS19970	EQU24_RS19970	EQU24_RS19970		
EQU24_RS19965	EQU24_RS19965	4487202	4488065	RnfABCDGE type electron transport complex subunit B	EQU24_RS19965 // EQU24_RS19960	EQU24_RS19965	EQU24_RS19965 // EQU24_RS19960		
EQU24_RS19960	EQU24_RS19960	4486322	4487179	hypothetical protein	EQU24_RS19965 // EQU24_RS19960	EQU24_RS19960	EQU24_RS19965 // EQU24_RS19960		
EQU24_RS19955	EQU24_RS19955	4485514	4486095	RnfABCDGE type electron transport complex subunit A	EQU24_RS19955 // EQU24_RS19950	EQU24_RS19955	EQU24_RS19955 // EQU24_RS19950		
EQU24_RS19950	EQU24_RS19950	4484876	4485517	electron transport complex subunit E	EQU24_RS19955 // EQU24_RS19950	EQU24_RS19950	EQU24_RS19955 // EQU24_RS19950		
EQU24_RS19945	EQU24_RS19945	4483944	4484657	FMN-binding protein	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930	EQU24_RS19945	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930		
EQU24_RS19940	EQU24_RS19940	4482934	4483932	RnfABCDGE type electron transport complex subunit D	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930	EQU24_RS19940	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930		
rsxC	EQU24_RS19935	4481601	4482941	electron transport complex subunit RsxC	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930	EQU24_RS19935	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930		
EQU24_RS19930	EQU24_RS19930	4476689	4481596	pyruvate ferredoxin oxidoreductase	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930	EQU24_RS19930	EQU24_RS19945 // EQU24_RS19940 // rsxC // EQU24_RS19930		
EQU24_RS19925	EQU24_RS19925	4476092	4476274	hypothetical protein	EQU24_RS19925	EQU24_RS19925	EQU24_RS19925		
EQU24_RS19920	EQU24_RS19920	4475174	4475695	replication initiation protein	EQU24_RS19920	EQU24_RS19920	EQU24_RS19920		
EQU24_RS19915	EQU24_RS19915	4474859	4475002	hypothetical protein	EQU24_RS19915	EQU24_RS19915	EQU24_RS19915		
EQU24_RS19910	EQU24_RS19910	4474501	4474680	hypothetical protein	EQU24_RS19910	EQU24_RS19910	EQU24_RS19910		
EQU24_RS19905	EQU24_RS19905	4473853	4474497	metal-dependent hydrolase	EQU24_RS19905	EQU24_RS19905	EQU24_RS19905		
EQU24_RS19900	EQU24_RS19900	4472107	4473249	hypothetical protein	EQU24_RS19900	EQU24_RS19900	EQU24_RS19900		
umuD	EQU24_RS19895	4471579	4471961	translesion error-prone DNA polymerase V autoproteolytic subunit	umuD	EQU24_RS19895	umuD		
lexA	EQU24_RS19890	4470786	4471412	transcriptional repressor LexA	lexA	EQU24_RS19890	lexA		
EQU24_RS19885	EQU24_RS19885	4470358	4470541	hypothetical protein	EQU24_RS19885	EQU24_RS19885	EQU24_RS19885		
EQU24_RS19880	EQU24_RS19880	4469768	4470070	hypothetical protein	EQU24_RS19880	EQU24_RS19880	EQU24_RS19880		
acnA	EQU24_RS19875	4466960	4469659	aconitate hydratase AcnA	acnA	EQU24_RS19875	acnA		
EQU24_RS19870	EQU24_RS19870	4464838	4466778	heavy metal translocating P-type ATPase	EQU24_RS19870	EQU24_RS19870	EQU24_RS19870		
EQU24_RS19865	EQU24_RS19865	4463389	4464123	hypothetical protein	EQU24_RS19865	EQU24_RS19865	EQU24_RS19865		
EQU24_RS19860	EQU24_RS19860	4462673	4463116	SoxR reducing system RseC family protein	EQU24_RS19860 // amrA // amrB	EQU24_RS19860	EQU24_RS19860 // amrA // amrB		
amrA	EQU24_RS19855	4462093	4462650	AmmeMemoRadiSam system protein A	EQU24_RS19860 // amrA // amrB	EQU24_RS19855	EQU24_RS19860 // amrA // amrB		
amrB	EQU24_RS19850	4461321	4462106	AmmeMemoRadiSam system protein B	EQU24_RS19860 // amrA // amrB	EQU24_RS19850	EQU24_RS19860 // amrA // amrB		
amrS	EQU24_RS19845	4460139	4461224	AmmeMemoRadiSam system radical SAM enzyme	amrS // EQU24_RS19840 // EQU24_RS19835	EQU24_RS19845	amrS // EQU24_RS19840 // EQU24_RS19835		
EQU24_RS19840	EQU24_RS19840	4458901	4460112	FtsX-like permease family protein	amrS // EQU24_RS19840 // EQU24_RS19835	EQU24_RS19840	amrS // EQU24_RS19840 // EQU24_RS19835		
EQU24_RS19835	EQU24_RS19835	4457694	4458893	FtsX-like permease family protein	amrS // EQU24_RS19840 // EQU24_RS19835	EQU24_RS19835	amrS // EQU24_RS19840 // EQU24_RS19835		
EQU24_RS19830	EQU24_RS19830	4456776	4457654	alpha/beta hydrolase	EQU24_RS19830	EQU24_RS19830	EQU24_RS19830		
EQU24_RS19825	EQU24_RS19825	4456127	4456582	YaiI/YqxD family protein	EQU24_RS19825	EQU24_RS19825	EQU24_RS19825		
EQU24_RS19820	EQU24_RS19820	4455880	4456067	hypothetical protein	EQU24_RS19820	EQU24_RS19820	EQU24_RS19820		
EQU24_RS19815	EQU24_RS19815	4454922	4455677	hypothetical protein	EQU24_RS19815	EQU24_RS19815	EQU24_RS19815		
recB	EQU24_RS19810	4451283	4454828	exodeoxyribonuclease V subunit beta	recB	EQU24_RS19810	recB		
EQU24_RS19805	EQU24_RS19805	4450378	4450839	septal ring lytic transglycosylase RlpA family protein	EQU24_RS19805	EQU24_RS19805	EQU24_RS19805		
recD	EQU24_RS19800	4448522	4450153	exodeoxyribonuclease V subunit alpha	recD	EQU24_RS19800	recD		
EQU24_RS19795	EQU24_RS19795	4447969	4448067	alpha/beta hydrolase	EQU24_RS19795	EQU24_RS19795	EQU24_RS19795		
EQU24_RS19790	EQU24_RS19790	4447188	4447781	hypothetical protein	EQU24_RS19790	EQU24_RS19790	EQU24_RS19790		
EQU24_RS19785	EQU24_RS19785	4446334	4446924	SIS domain-containing protein	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775	EQU24_RS19785	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775		
EQU24_RS19780	EQU24_RS19780	4445975	4446325	YraN family protein	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775	EQU24_RS19780	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775		
EQU24_RS19775	EQU24_RS19775	4444079	4445953	penicillin-binding protein activator	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775	EQU24_RS19775	EQU24_RS19785 // EQU24_RS19780 // EQU24_RS19775		
rsmI	EQU24_RS19770	4443162	4444028	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	EQU24_RS19770	rsmI		
rnpB	EQU24_RS19765	4442621	4442986	RNase P RNA component class A	rnpB	EQU24_RS19765	rnpB		
EQU24_RS19760	EQU24_RS19760	4442162	4442368	hypothetical protein	EQU24_RS19760	EQU24_RS19760	EQU24_RS19760		
mraZ	EQU24_RS19755	4441219	4441686	division/cell wall cluster transcriptional repressor MraZ	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC	EQU24_RS19755	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC		
rsmH	EQU24_RS19750	4440276	4441202	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC	EQU24_RS19750	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC		
ftsL	EQU24_RS19745	4440001	4440249	cell division protein FtsL	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC	EQU24_RS19745	mraZ // rsmH // ftsL // EQU24_RS19740 // EQU24_RS19735 // EQU24_RS19730 // EQU24_RS19725 // EQU24_RS19720 // ftsW // murG // murC		
